"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"290","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,NA,35.29,1,8.08
"291","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,NA,35.29,1,8.08
"292","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
"293","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
"294","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"295","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,NA,35.29,1,8.08
"296","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,7.34209090909091,35.29,1,8.08
"297","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,7.34209090909091,35.29,1,8.08
"298","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"299","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"300","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"301","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"302","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,NA,35.29,1,8.08
"303","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,2.53,NA,35.29,1,8.08
"304","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"305","Sudan",576,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"306","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,NA,35.29,1,8.08
"307","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,NA,35.29,1,8.08
"308","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,NA,7.34209090909091,35.29,1,8.08
